URI;ExternalId;SportUnionType;SportUnionRegNumber;LicenceNumber;RegNumberEntryOrder;EntryOrderDate;UnionName;UnionLocation;UnionAddress;UnionStatus;UnionStatusDate;Presenter;AddressCorespondant;Telephone;Emails;Sport;EIK;WebPage;ForeignData;CancelationOrder;CancelDate;
1202-25-1267;73;"Спортна федерация";"162-000";"73";"";;"Българската федерация по таекуон-до стил ВТ";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"21.02.2020";"Славчо Бинев";;"02/4219865";"office@taekwondo-bulgaria.org";"таекуон до стил Вт";"121565235";"https://www.taekwondo-bulgaria.org/";"WORLD TAEKWONDO UNION";;;
1202-25-1268;74;"Спортна федерация";"212-000";"74";"";;"Асоциация за университетски спорт "Академик"";"гр. София";"НСА "Васил Левски"";"Вписан";"04.03.2020";"Златко Джуров";;"0898776587";"office@aus.bg";"спорт за учащи";"121181715";"https://www.facebook.com/ausakademik/";"International University sport federation";;;
1202-25-1269;75;"Спортна федерация";"163-000";"75";"";;"Българска асоциация по триатлон";"гр. София";"бул. Черни връх N 51, ет.9";"Вписан";"30.03.2020";"Марио Илиев";;"0887440944";"info@triathlon.bg";"триатлон";"205929733";"www.triathlon.bg";"";;;
1202-25-1270;76;"Спортна федерация";"164-000";"76";"";;"Българска федерация по хокей на лед";"гр. София";"бул. "Васил Левски" No 75";"Вписан";"30.03.2020";"Мартин Миланов";;"02/9300610";"bihf@mail.com";"хокей на лед";"831565411";"http://hockey.bg/";"INTERNATIONAL ICE HOCKEY FEDERATION";;;
1202-25-1271;77;"Спортна федерация";"165-000";"77";"";;"Български национален аероклуб";"гр. София";"бул. Евлоги Георгиев № 97";"Вписан";"14.04.2020";"Ангел Стаменов, Цветан Цолов, Димитър Ралев";;"0898450264";"national_aeroclub@mail.bg; info@dropzone.bg";"въздушни спортове";"130663828";"www.bnac.bg";"FEDERATION AERONAUTIQUE INTERNATIONALE";;;
1202-25-1272;78;"Спортна федерация";"166-000";"78";"";;"Българска федерация по йога";"гр. София";"бул. Васил Левски № 75 ет. 4, ап. 18";"Вписан";"14.04.2020";"Вера Захариева, Анна Бакалова";;"0877599344";"bf_yoga@abv.bg";"йога";"121498612";"http://yoga-bf.com/";"INTERNATIONAL YOGA FEDERATION";;;
1202-25-1273;79;"Спортна федерация";"167-000";"79";"";;"Българска федерация по динамична стрелба";"гр. София";"ул. Шести септември № 13, вх. Б, ет. 3, ап. 34
		";"Вписан";"14.04.2020";"Мариян Петков";;"0887631267, 0888500501";"bul@ipscbg.org";"динамична стрелба";"131461167";"www.ipscbg.org";"INTERNATIONAL PRACTICAL SHOOTING CONFEDERATION
		";;;
1202-25-1274;80;"Спортна федерация";"340-000";"80";"";;"Българска джу джицу федерация";"гр. София";"ж.к. Стрелбище, ул. Мила Родина No 17";"Вписан";"14.04.2020";"Томо Борисов";;"029582829";"ju-Іjitsu@abv.bg";"джу-джицу";"131223372";"www.bjjf.org";"JU-JITSU EUROPEAN UNION, JU-JITSU INTERNATIONAL
			FEDERATION";;;
1202-25-1275;81;"Спортна федерация";"169-000";"81";"";;"Българска федерация по крикет";"гр. София";"бул. „Васил Левски“ № 75";"Вписан";"14.04.2020";"Андрей Лилов";;"029300744, 0898776685";"bfcricket_bg@abv.bg";"крикет";"130914611";"http://www.cricket-bg.org";"International cricet council";;;
1202-25-1276;82;"Спортна федерация";"170-000";"82";"";;"Българска кудо федерация";"гр. Хасково";"бул. Раковски № 15";"Вписан";"14.04.2020";"Господин Бабамов";;"0886018005, 0884691075";"kudobulgaria@yahoo.com";"кудо";"126741388";"www.kudo-bulgaria.org";"KUDO INTERNATIONAL FEDERATION";;;
1202-25-1277;83;"Спортна федерация";"171-000";"83";"";;"Българска бодибилдинг и фитнес федерация";"гр. София";"бул. „Васил Левски“ № 75";"Вписан";"14.04.2020";"Янко Бойкинов";;"0889001663";"info@bbbff.bg";"бодибилдинг, фитнес";"177153538";"www.bbbff.bg";"IFBB";;;
1202-25-1278;84;"Спортна федерация";"172-000";"84";"";;"Българска айкидо федерация";"гр. София";"кв. Драгалевци, ул. „Акад. Петър Динеков“ № 11
		";"Вписан";"14.04.2020";"Пламен Юруков";;"0888771855, 0894455888";"yourukov@venynuts.com; dolphins_org@yahoo.com";"айкидо";"121596490";"www.baf.org";"International aikido federation";;;
1202-25-1279;85;"Спортна федерация";"173-000";"85";"";;"Българска федерация по спелеология";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"19.06.2020";"Явор Шопов";;"0898448132";"bfs@speleo-bg.org";"спелеология";"121805883";"www.speleo-bg.org";"International union of speleology";;;
1202-25-1280;86;"Спортна федерация";"174-000";"86";"";;"Българска скейтборд федерация";"гр. София";"ул. Козлодуй № 134";"Вписан";"19.06.2020";"Борис Атанасов";;"0885715878";"skateboard.federation@abv.bg";"скейтборд";"130296289";"";"International skateboarding federation";;;
1202-25-1281;87;"Спортна федерация";"175-000";"87";"";;"Българска ролер-скейт федерация";"гр. София";"ж.к. Младост 3, бл. 307, вх. 8, ап. 46,адрес за
			кореспонденция НДК – адм. Сграда, ет.4, офис Онборд";"Вписан";"19.06.2020";"Лозан Стефанов";;"0888219305, 0888618061";"rollerskatefed@abv.bg";"ролер-скейт";"130491225";"www.rollerskatebg.org";"World skate federation";;;
1202-25-1282;88;"Спортна федерация";"176-000";"88";"";;"Българска федерация савате";"гр. Пловдив";"ул. Славянска № 19";"Вписан";"19.06.2020";"Георги Танчев";;"0884484447";"bffb@abv.bg";"савате";"176352667";"www.savate.bg";"International Savate Federation";;;
1202-25-1283;89;"Спортна федерация";"177-000";"89";"";;"Българска федерация по подводни спортове";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"19.06.2020";"Марио Христов";;"0887216517";"board@busf.bg";"подводни спортове";"131182648";"www.busf.bg";"Confederation mondiale des activites subaquatiques
		";;;
1202-25-1284;90;"Спортна федерация";"178-000";"90";"";;"Българска федерация по ръгби";"гр. София";"бул. „Толбухин“ № 18 /настоящ бул. Васил Левски № 75/
		";"Вписан";"19.06.2020";"Атанас Зафиров";;"029300643, 0892299725";"bfrugby_ofice@abv.bg; bfrugby_td@abv.bg";"ръгби";"831147807";"https://rugbybulgaria.com/bulgarska-federaciq-rugby/
		";"Ръгби Европа";;;
1202-25-1285;91;"Спортна федерация";"179-000";"91";"";;"Българска федерация по картинг - НКС";"гр. София";"ул. "Витиня" №2Ж";"Вписан";"15.07.2020";"Росен Даскалов";;"0892211954";"office@bfk.bg";"картинг";"205212913";"";"Commision Internationale de Karting-FIA (CIK-FIA)
		";;;
1202-25-1286;92;"Спортна федерация";"180-000";"92";"";;"Българска федерация по бейзбол и софтбол";"гр. София";"кв. Манастирски ливади, ул. "Лъвски рид" № 20
		";"Вписан";"30.10.2020";"Юрий Алкалай";;"0876400200";"office@softball.bg";"бейзбол, софтбол";"121892991";"www.softball.bg www.baseball.bg";"World baseball softball confederation";;;
1202-25-1287;93;"Спортна федерация";"181-000";"93";"";;"Българска бодигард федерация";"гр. София";"район Лозенец, ул. „Богатица” № 10";"Вписан";"30.10.2020";"Румен Ралчев";;"+359 885502200";"bs_institute@abv.bg";"приложен спорт за охранители";"176290233";"https://boyguard.bg/";"International bodyguard federation";;;
1202-25-1288;94;"Спортна федерация";"182-000";"94";"";;"Българска федерация по силов трибой";"гр. София";"бул. "Васил Левски" № 75";"Вписан";"30.10.2020";"Иван Башлиев";;"0888805421, 0887074948";"bpf@abv.bg";"силов трибой";"121185699";"powerlifting-bg.com";"Interneational powerlifting federation";;;
1202-25-1289;95;"Спортна федерация";"183-000";"95";"";;"Българска брейк федерация";"гр. София";"ж.к. Орландовци, ул. "Подем" №8";"Вписан";"26.11.2020";"Калин Калинов";;"+359883381463";"b.breakingfederation@gmail.com";"брейк";"205783214";"www.worlddancesport.org";"World Dance Sport Federation - WDSF";;;
1202-25-1290;96;"Спортна федерация";"184-000";"96";"";;"Българска федерация по акробатичен рокендрол";"гр. Варна";"ж.к. Виница, ул. "Антон Пруткин" №4";"Вписан";"26.11.2020";"Неделчо Недялков";;"0894443322";"barrf1991@gmail.com";"акробатичен рокендрол, буги вуги";"121705616";"barrf.eu";"Световна рокендрол конфедерация/WRRC/";;;
1202-25-1295;101;"Спортна федерация";"337-000";;;;"Сдружение "Българска бридж федерация"";"гр. София";"ул. "Цар Самуил" №22, ет. 1";"Вписан";"09.02.2021";"Елица Чешитева, Климентин Николчев";;"0882009445";"office@bridge.bg";"бридж";"130239758";"www.bridge.bg";"Европейска бридж лига (EBL)";;;
1202-25-1296;102;"Спортна федерация";"191-000";"СД-93";"";;"Българска федерация на радиолюбителите - БФРЛ";"гр. София";"ж.к. Лагера, бл. 5, ап. Офис 1";"Вписан";"09.06.2021";"Виктор Ценков";;"+359889318297";"lz3nn@abv.bg";"радиоспорт";"121597083";"www.bfra.bg";"International Amateur Radio Union - IARU";;;
1202-25-1297;103;"Спортна федерация";"341-000";;;;"Българска федерация по ушу";"гр. Бургас";"ж.к. Възраждане, ул. "Македония" №81-партер
		";"Вписан";"09.06.2021";"Стефан Колев";;"0879939999";"bulgarian.wushu.federation.gmail.com";"ушу";"130591108";"www.bgwuf.org";"";;;
1202-25-1298;105;"Спортна федерация";"311-000";;;;"Българска федерация по шахмат 1928";"гр. София";"бул. "Васил Левски" №75";"Заличен";"15.12.2020";"Руслан Тошев";;"0888 636 986";"office@bgchessfederation.org";"шахмат";"177219591";"www.bgchessfederation.org";"International Chess Federation";"отменена заповед № РД 09-1312/15.12.2020";;
1202-25-1299;106;"Обединен спортен клуб";"301-000";"301-000";"";;"ОБЕДИНЕН СПОРТЕН КЛУБ "ЛЕВСКИ - СОФИЯ"";"гр. София";"ул. "Тодорини кукли" №47";"Вписан";"08.07.2020";"Бранимира Цветанова";;"0889115730";"sclevskisofia@abv.bg";"художествена гимнастика, лека атлетика, джудо";"177043677";"";"";;;
1202-25-1300;107;"Обединен спортен клуб";"302-000";"302-000";"";;"ОБЕДИНЕН СПОРТЕН КЛУБ АСЕНОВЕЦ";"гр. Асеновград";"ул. "Изложение" №1";"Вписан";"23.10.2020";"Лъчезар Кишкилов";;"0897821333";"";"вдигане на тежести, кану-каяк, баскетбол, волейбол";"463952";"";"";;;
1202-25-1301;108;"Обединен спортен клуб";"303-000";"303-000";"";;"ОБЕДИНЕН СПОРТЕН КЛУБ ЧЕРНО МОРЕ";"гр. Варна";"ул. "Никола Вапцаров" №9";"Вписан";"18.12.2020";"Бончо Бонев, Григор Фиданов - заедно и поотделно
		";;"052 302 985";"pavlova.chernomore@abv.bg";"";"90542";"";"";;;
1202-25-1302;127;"Спортна федерация";"317-000";"22-11-33";"0002/3";"31.08.2022";"Тест - Мария 1";"гр. Кюстендил";"ул. Незабравка 18";"Вписан";"30.08.2022";"";;"";"";"";"655589098";"";"";;;
1202-25-1303;129;"Спортна федерация";"330-000";;;;"Давид Холдинг АД";"гр. София";"бул.Васил Левски 114";"В разглеждане";"14.09.2022";"";;"";"ktomova@david.bg";"авиомоделизъм, авто-мото спорт";"833092882";"";"INTERNATIONAL YOGA FEDERATION, FEDERATION INTERNATIONAL
			DE L'AUTOMOBILE /FIA/";;;
1202-25-1304;132;"Спортна федерация";"";;;;"TechnoLogica ЕAD";"гр. София";"р-н Лозенец, ул. "Червена стена", № 46";"В разглеждане";"14.09.2022";"";;"+ 359 2 91 912";"office@technologica.com";"шотокан карате-до";"200205480";"www.technologica.com";"";;;
1202-25-1307;133;"Спортна федерация";"";;;;"TechnoLogica ЕAD";"гр. София";"р-н Лозенец, ул. "Червена стена", № 46";"В разглеждане";"14.09.2022";"Антраник Касабян";;"+ 359 2 91 912";"office@technologica.com";"автомобилизъм";"981461637488";"www.technologica.com";"UNION INTERNATIONALE MOTONAUTIQUE";;;
1202-25-1308;134;"Спортна федерация";"";;;;"Тестови спортен клуб";"гр. София";"";"В разглеждане";"16.09.2022";"";;"";"";"авиомоделизъм, авто-мото спорт";"639472989";"";"";;;
1202-25-1309;136;"Спортна федерация";"";;;;"TechnoLogica ЕAD";"гр. София";"р-н Лозенец, ул. "Червена стена", № 46";"В разглеждане";"21.09.2022";"";;"+ 359 2 91 912";"office@technologica.com";"";"121415869";"www.technologica.com";"";;;
1202-25-1310;138;"Спортна федерация";"346-000";;;;"FOND TESTOVO DELO";"гр. София";"ugomznlom, жк. ugomznlom, бл. 502, вх. ugomznlom, ет.
			502, ап. 502";"Заличен";"30.09.2022";"Петър Петров";;"02 000 02 95";"office@dpftd.com";"адаптирана физическа активност";"446322596";"www.dp-ftest.com";"";;;
1202-25-1311;139;"Спортна федерация";"";;;;"TEST BULGARIA EOOD END KO";"гр. София";"р-н Тест, ул. "Тест Тест", № 566";"В разглеждане";"03.10.2022";"Иво Ивов";;"+ 359 8 88 112";"office@test-ko.com";"автомобилизъм, айкидо";"61467723";"www.test-ko.com";"";;;
1202-25-1312;140;"Спортна федерация";"344-000";"СД-147";"";;"TechnoLogica ЕAD";"гр. София";"р-н Лозенец, ул. "Червена стена", № 46";"Вписан";"03.10.2022";"";;"+ 359 2 91 912";"office@technologica.com";"авто-мото спорт";"321075870";"www.technologica.com";"";;;
1202-25-1313;141;"Спортна федерация";"347-000";;;;"TechnoLogica ЕAD Test";"гр. София";"р-н Лозенец, ул. "Червена стена", № 46";"Заличен";"13.10.2022";"";;"+ 359 2 91 912";"office@technologica.com";"артистично плуване";"444675220";"www.technologica.com";"";;;
1202-25-1314;142;"Спортна федерация";"";;;;"TechnoLogica ЕAD";"гр. София";"р-н Лозенец, ул. "Червена стена", № 46";"В разглеждане";"19.10.2022";"";;"+ 359 2 91 912";"office@technologica.com";"авиомоделизъм";"104569690";"www.technologica.com";"";;;
1202-25-1291;97;"Спортна федерация";"186-000";"98";"";;"Българска федерация по петанк";"гр. София";"ул. "Гургулят" №30, ет. 4, ап. 13";"Вписан";"16.12.2020";"Румен Рачев";;"0888425779";"bulpetanque@abv.bg";"петанк";"130390112";"www.petanque-bulgaria.com";"FEDERATION INTERNATIONAL DE PETANOUE ET JEU PROVENCAL
		";;;
1202-25-1292;98;"Спортна федерация";"187-000";"99";"";;"Българска голф асоциация";"гр. София";"ул. Оборище № 19";"Вписан";"16.12.2020";"Красимир Гергов";;"02/ 9430610";"office@golfbg.com";"голф";"130484006";"www.golfbg.com";"Европейска голф асоциация";;;
;219;;;;;;;;;;;;;;;;;;;;;
1202-25-1293;99;"Спортна федерация";"188-000";"100";"";;"Българска федерация по риболовни спортове";"гр. София";"бул. Витоша № 31-33";"Вписан";"21.12.2020";"Георги Стефанов иванов";;"02/9879538 0887983838";"bfrs@abv.bg; office@bfrs.bg";"риболовни спортове";"131043278";"http://bfrs.bg/";"FEDERATION INTERNATIONALE DE LA PECHE SPORTIVE EN EAU
			DOUCE";;;
1202-25-1294;100;"Спортна федерация";"189-000";"101";"";;"Български чирлидинг съюз";"гр. София";"бул. "Васил Левски" №75";"Вписан";"21.12.2020";"Милко Кралски";;"0878701212";"mkralski@gmail.com";"чирлидинг";"177212067";"www.bulcu.eu";"Международен чирлидинг съюз";;;
